model_type,seed,sequence_length,accuracy,failure_rate
gru,123,1000,0.0,1.0
gru,123,2000,0.003906,0.996094
gru,123,4000,0.0,1.0
gru,456,1000,0.003906,0.996094
gru,456,2000,0.003906,0.996094
gru,456,4000,0.007812,0.992188
gru,789,1000,0.003906,0.996094
gru,789,2000,0.003906,0.996094
gru,789,4000,0.003906,0.996094
memory_gru,123,1000,0.003906,0.996094
memory_gru,123,2000,0.003906,0.996094
memory_gru,123,4000,0.0,1.0
memory_gru,456,1000,0.0,1.0
memory_gru,456,2000,0.011719,0.988281
memory_gru,456,4000,0.003906,0.996094
memory_gru,789,1000,0.011719,0.988281
memory_gru,789,2000,0.011719,0.988281
memory_gru,789,4000,0.007812,0.992188
transformer,123,1000,0.003906,0.996094
transformer,123,2000,0.003906,0.996094
transformer,123,4000,0.007812,0.992188
transformer,456,1000,0.0,1.0
transformer,456,2000,0.0,1.0
transformer,456,4000,0.003906,0.996094
transformer,789,1000,0.007812,0.992188
transformer,789,2000,0.0,1.0
transformer,789,4000,0.007812,0.992188
